id x y z vx vy vz fx fy fz c_apE 
87 1.49018 5.94748 8.27113 0.920811 -0.674262 0.768327 0.00404429 -0.213708 0.420171 -5.0958 
88 5.91054 13.4907 8.18874 -2.0032 1.16771 -0.224584 0.571626 0.465792 -0.0164289 -5.09995 
89 1.37174 5.9579 12.7894 -1.9885 1.93007 -0.00252554 0.679532 0.273091 -0.490748 -5.12757 
90 5.98058 13.6953 12.9159 -0.0281952 -0.839748 -1.45753 0.000323647 -0.0881773 0.405622 -5.10394 
91 7.34781 0.956982 3.57512 -4.92468 1.16194 1.50276 0.843748 -0.960498 -0.213548 -5.12281 
92 2.88981 8.50702 3.53702 0.735369 0.484146 -0.669421 -0.229838 0.792782 0.0383109 -5.06583 
93 7.42004 0.830291 8.31191 -1.57216 -4.21801 -2.69623 -0.320048 -0.323307 0.121299 -5.23289 
94 2.99942 8.49815 8.16464 -0.586081 -0.729293 -2.54296 -0.438191 0.523037 -0.305411 -5.02479 
95 7.4738 0.922223 12.8495 0.420137 1.64009 3.13181 -0.208176 -0.65771 -0.53295 -4.97695 
96 2.87529 8.57082 12.8952 -0.125349 -2.66935 -3.22534 0.533714 -0.862699 -0.0722146 -5.08372 
97 5.82303 3.32084 3.63094 5.5064 1.50587 -1.31637 -0.0436616 1.28229 0.468691 -5.06253 
98 1.44089 11.1461 3.56698 -1.72178 -1.49145 1.20636 0.316331 -0.852874 -0.13178 -5.14172 
99 5.79897 3.35772 8.11805 0.220865 1.29244 -0.211742 0.967877 -0.0725434 -0.238194 -5.14196 
100 1.46668 11.0873 8.21106 -2.05666 -0.751272 -0.875322 0.311596 -0.640156 -0.377071 -5.03133 
101 5.90769 3.38511 12.9482 0.408616 0.377409 -0.71894 -0.52872 0.319961 -0.0414401 -5.1005 
102 1.48929 11.065 12.9023 -0.0684409 2.44937 0.48393 -0.214755 0.203263 0.0132543 -5.17899 
103 4.42516 6.05151 3.42686 -0.953154 -3.03992 0.83353 -0.458427 -0.61937 -0.230312 -5.15784 
104 0.0568847 13.562 3.54309 1.95907 -1.84726 0.330934 -0.662302 1.05174 0.327885 -5.00858 
105 4.44795 5.96913 8.17934 1.64213 -2.38372 -0.266681 -0.282286 -0.107372 0.00930372 -5.04796 
106 8.83476 13.5621 8.2402 4.0246 -0.93918 -0.00179339 0.354798 0.523865 0.150279 -5.19884 
107 4.4229 5.93617 12.8848 1.72585 -2.92352 0.915231 -1.27837 0.0204332 0.430314 -5.01949 
108 0.121354 13.6188 12.9171 0.140431 -0.314801 -3.98158 -0.642819 0.207131 0.0273395 -5.0294 
1 8.76269 1.57924 1.20276 -0.358437 2.98792 -0.711848 0.226713 0.673514 -0.025623 -5.14825 
2 4.34444 9.36211 1.19858 2.12154 0.256788 0.343271 0.656298 0.110385 -0.291978 -5.08992 
3 0.130891 1.689 5.82258 -1.12695 1.08878 -3.5113 -0.688402 0.154959 -0.583903 -5.03722 
4 4.50464 9.34166 5.85973 -4.00759 1.01591 0.025505 -0.785771 0.545731 -0.0626833 -5.06122 
5 8.81509 1.63474 10.5632 2.56673 0.51106 -1.82438 0.840802 0.457302 0.483382 -5.07817 
6 4.403 9.32495 10.4597 0.644955 0.375684 1.26804 0.0445986 -0.0626031 0.177537 -5.10994 
